0:0	despite that , we do n't have the slightest chance of terrorism taking place .	N/A	despite that , there is not the slightest chance for terrorism .	N/A	1	1	0-0 1-1 2-2 7-6 8-7 9-8 10-9 11-10 14-11 3-3 3-4 3-5 4-3 4-4 4-5 5-3 5-4 5-5 6-3 6-4 6-5		 
1:1	however , he did not set a definite time limit for the removal action .	N/A	but he did not specify a timeline for the tent removal .	N/A	1	1	0-0 2-1 3-2 4-3 5-4 6-5 7-4 8-6 9-6 10-7 11-8 12-9 12-10 13-9 13-10 14-11		 
2:2	it may be recalled that it is the second incident of violence against chinese nationals in pakistan during the last one month .	N/A	remember that in the last month , this is the second incident of violence against chinese citizens .	N/A	1	1	0-0 1-0 2-0 3-0 4-1 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16 17-2 18-3 19-4 20-5 21-5 22-17 5-7		 
3:3	up till the day before yesterday , over half of the 44 units were sold . actually , 25 units found a buyer .	N/A	by the day before yesterday , over half of 44 units , i.e. 25 units have got buyers .	N/A	1	1	0-0 1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 11-9 12-10 16-12 18-13 19-14 20-15 20-16 21-17 22-17 23-18 13-15 13-16 13-17 14-15 14-16 14-17 15-11		 
4:4	the philippine foreign department said in a statement that pearce , australian ambassador to manila , has telephoned the philippine foreign secretary ople to announce the resumption of full operations of the embassy .	N/A	the philippine foreign ministry said in a statement that australian ambassador pierce called philippine fm aobo , announcing resuming all work of the embassy .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-11 11-9 12-10 17-12 18-13 19-13 23-17 24-17 25-18 26-18 27-18 28-19 29-20 30-21 31-22 32-23 33-24 20-14 21-14 22-15		 
5:5	afghanistan 's ruling taliban regime continues to refuse to hand over saudi-born osama bin laden , the chief suspect in the september 11 terrorist attacks on the united states . / end of item /	N/A	ruling taliban refuses to extradite the saudi born usama bin laden , the major suspect in terrorist attacks on us . -end of the story-	N/A	1	1	2-0 3-1 7-2 8-3 11-5 11-6 11-7 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-15 23-16 24-17 25-18 26-19 27-19 28-19 29-20 31-21 32-22 9-4 10-4 30-21 33-23 33-24 34-24		 
6:6	el nino has also caused torrential rains in california and in the southern part of the states this year .	N/A	the heavy rain in florida and the southern areas this year imputed to the ernino .	N/A	1	1	0-13 0-14 1-13 1-14 5-0 5-1 6-2 7-3 9-5 11-6 12-7 13-8 14-8 15-8 16-8 17-9 18-10 19-15 4-11 4-12 8-4		 
7:7	the colombian government and the " united self-defense of colombia " group reached a peaceful demobilization deal through negotiations in june this year .	N/A	in june this year , the colombian government and the auc reached a peaceful demobilization agreement following negotiations .	N/A	1	1	0-5 1-6 2-7 3-8 4-9 12-11 13-12 14-13 15-14 16-15 17-16 18-17 19-0 20-1 21-2 22-3 23-18 5-10 6-10 7-10 8-10 9-10 10-10 11-10		 
8:8	the above-mentioned two agencies are asked to list in order of importance the missions of disarmament iraq has not accomplished .	N/A	it asked the two agencies to list iraq 's unfinished disarmament tasks according to the priorities .	N/A	1	1	0-2 2-3 3-4 5-1 6-5 7-6 8-12 8-13 9-12 9-13 10-12 10-13 11-14 11-15 12-11 13-11 15-10 16-7 18-9 19-9 20-16 17-8		 
9:9	during the past two years , a batch of foreign businessmen expressed their wishes to get involved in xining 's city construction one after another .	N/A	in the last two years , some foreign businessmen showed their interest in the construction of xiling city .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-6 8-6 9-7 10-8 11-9 12-10 13-11 18-16 19-16 20-17 21-13 21-14 21-15 25-18 14-12 15-12 16-12 17-12		 
10:10	however , in most cases , they have been promptly released .	N/A	but most of them were released soon after .	N/A	1	1	0-0 2-1 2-2 3-1 3-2 4-1 4-2 7-4 8-4 9-6 9-7 10-5 11-8 6-3		 
11:11	wang , who is also a member of the central military committee , said that despite the great geographical distance between the two countries , they were bound by old friendly ties .	N/A	the two peoples of china and chile have old friendly relations despite the geographic distance between the two countries , wang said .	N/A	1	1	0-20 13-21 14-21 15-11 16-12 18-13 19-14 20-15 21-16 22-17 23-18 24-19 29-8 30-9 31-10 32-22 26-7 27-7 28-7		 
12:12	during the recent years , china has started to make use of loans from international financial institutions to finance its infrastructure construction and make procurement through international bidding .	N/A	in recent years , china has begun to make purchase in infrastructure through international competitive bidding with the loan from international finacial organization .	N/A	1	1	0-0 1-1 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 12-17 12-18 13-19 14-20 15-21 16-22 20-11 21-11 25-12 26-13 27-15 28-23 11-16 19-10		 
13:13	politicians in israel and the palestinian authority are not showing great optimism during their private conversations regarding the possibilities of resuming the negotiations related to the establishment of a palestinian state .	N/A	privately , politicians in both israel and the palestinian authority display little optimism about the prospects for resuming negotiations on a palestinian state .	N/A	1	1	0-2 1-3 2-5 3-6 4-7 5-8 6-9 7-10 7-11 8-10 8-11 9-10 9-11 11-12 12-0 13-0 14-0 15-0 16-13 17-14 18-15 19-16 20-17 21-18 22-18 23-19 24-19 28-20 29-21 30-22 31-23		 
