0:0	`` we '' died of natural causes at age eight in june 2007 , not long after the corporation got him .	N/A	`` we '' died of natural causes at age eight in june 2007 , not long after being acquired by nutra pharma .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 21-22		
1:1	evolution may be the source of the vast diversity of extant and extinct life on earth .	N/A	evolution is the source of the vast diversity of extant and extinct life on earth .	N/A	1	1	0-0 1-1 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-13 15-14 16-15		
2:2	credit information such as a persons previous loan performance is a powerful tool to predict his future behavior .	N/A	credit information such as a persons previous loan performance is a powerful tool to predict his or her future behavior .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-18 17-19 18-20		
3:3	phil wilayto , former coordinator of a job is a right campaign in milwaukee and a contributor to mediatransparency , a progressive web site that tracks the funding of right-wing politics , writes :	N/A	phil wilayto , former coordinator of a job is a right campaign in milwaukee and a contributor to mediatransparency , a left-wing web site that tracks the funding of right-wing politics , writes :	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-22 23-23 24-24 25-25 26-26 27-27 28-28 29-29 30-30 31-31 32-32 33-33		
4:4	most mellen books are in english ; some are in french , german , spanish , russian , and other languages .	N/A	most mellen books are in english ; many are also in french , german , spanish , russian , and other languages .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-10 10-11 11-12 12-13 13-14 14-15 15-16 16-17 17-18 18-19 19-20 20-21 21-22		
5:5	it is a distant relative of the medovukha , a honey-made spirit popular in all slavic countries .	N/A	it is a distant relative of the medovukha , a honey-made spirit popular in all slavic countries where aids is prevalent .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-21		
6:6	it asks such questions as : how should men interact in society ?	N/A	it asks such questions as : how should people interact in society ?	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12		
7:7	the disc slot light illuminates briefly when the console is turned on and when wiiconnect 24 is turned on and you are receiving new data , such as messages , and you have selected `` bright '' or `` dim '' in the `` slot illumination '' settings for wiiconnect24 .	N/A	the disc slot light illuminates briefly when the console is turned on and when wiiconnect 24 is turned on and when receiving new data , such as messages , and have selected `` bright '' or `` dim '' in the `` slot illumination '' settings for wiiconnect24 .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 22-21 23-22 24-23 25-24 26-25 27-26 28-27 29-28 30-29 32-30 33-31 34-32 35-33 36-34 37-35 38-36 39-37 40-38 41-39 42-40 43-41 44-42 45-43 46-44 47-45 48-46 49-47 50-48		
8:8	in 1953 , the nehru government bowed to intense pressure from the northern telugu-speaking districts of madras state , and allowed them to vote to create india 's first linguistic state .	N/A	in 1953 , the nehru government yielded to intense pressure from the northern telugu-speaking districts of madras state , and allowed them to vote to create india 's first linguistic state .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-22 23-23 24-24 25-25 26-26 27-27 28-28 29-29 30-30 31-31		
9:9	note : almost every place of interest listed above is within 5- 60 minutes drive from our village .	N/A	almost every place of interest listed above is within 5- 50 minutes drive from duncormick .	N/A	1	1	2-0 3-1 4-2 5-3 6-4 7-5 8-6 9-7 10-8 11-9 12-10 13-11 14-12 15-13 18-15		
10:10	the culture war ( or culture wars ) in american usage is a political conflict based on different idealized cultural values .	N/A	the culture war ( or culture wars ) in american usage is an alleged political conflict based on different idealized cultural values .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-14 14-15 15-16 16-17 17-18 18-19 19-20 20-21 21-22		
11:11	since 1985 , starostin had been developing starling , which is the most advanced linguist 's workplace software .	N/A	since 1985 , starostin had been developing starling , which is a linguist 's workplace software .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 14-12 15-13 16-14 17-15 18-16		
12:12	they promote the false perception that evolution is a theory in crisis	N/A	they promote their minority perception that evolution is a theory in crisis	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11		
13:13	originally a strong supporter of israel and its biblical claims , brueggemann later repudiated israel for its exploitation of `` ancient promises '' to create a `` toxic ideology , '' and now affirms that it 's not anti-semitic to stand up for justice for palestinians .	N/A	originally a strong supporter of israel and its biblical claims , brueggemann later repudiated israel for its exploitation of `` ancient promises '' to create a `` toxic ideology , '' and now affirms his belief that it is not anti-semitic to stand up for justice for palestinians .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-22 23-23 24-24 25-25 26-26 27-27 28-28 29-29 30-30 31-31 32-32 33-33 34-36 35-37 36-38 37-39 38-40 39-41 40-42 41-43 42-44 43-45 44-46 45-47 46-48		
14:14	her unyielding support for a woman 's right to choose has earned her the ire of groups that oppose legal abortion .	N/A	her unyielding support for legal abortion has earned her the ire of groups that oppose legal abortion .	N/A	1	1	0-0 1-1 2-2 3-3 10-6 11-7 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-15 20-16 21-17		
15:15	the grand ole opry is a weekly country music stage concert in nashville , tennessee , that has presented the biggest stars of the genre for nearly 85 years .	N/A	the grand ole opry is a weekly country music stage concert in nashville , tennessee , that has presented the biggest stars of the genre since 1925 .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-22 23-23 24-24 25-25 25-26 26-25 26-26 27-25 27-26 28-25 28-26 29-27		
16:16	research published in 2016 indicated that one in 50 british fathers is raising a child who is the biological child of another man , and whose birth reflects the high incidence of female infidelity , between 5 and 27 % in women under 30 .	N/A	research published in 2016 indicated that one in 50 british fathers is raising a child who is the biological child of another man , and that misattributed paternity is rarer than commonly believed .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-22 23-23 24-24 44-33		
17:17	yael nam ( hebrew : ) is a french-israeli singer and songwriter who rose to great fame in 2008 , after her song , new soul , was used by apple in an advertising campaign for its macbook air .	N/A	yael nam ( hebrew : ) is a french-israeli singer and songwriter who rose to fame in 2008 , after her song , new soul , was used by apple in an advertising campaign for its macbook air .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 16-15 17-16 18-17 19-18 20-19 21-20 22-21 23-22 24-23 25-24 26-25 27-26 28-27 29-28 30-29 31-30 32-31 33-32 34-33 35-34 36-35 37-36 38-37 39-38		
18:18	stock is a 2013 recipient of the macarthur `` genius '' award .	N/A	stock is a 2013 recipient of a macarthur fellowship .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 12-9		
19:19	after seeing the horse run on television the band began to discuss archduke franz ferdinand and thought it would be a good band name because of the sound of the name and the implications of the archduke 's death ( his assassination was the most significant of many factors which led to world war i ) .	N/A	after seeing the horse run on television the band began to discuss archduke franz ferdinand and thought it would be a good band name because of the sound of the name and the implications of the archduke 's death ( his assassination was a significant factors in the lead up to world war i ) .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-22 23-23 24-24 25-25 26-26 27-27 28-28 29-29 30-30 31-31 32-32 33-33 34-34 35-35 36-36 37-37 38-38 39-39 40-40 41-41 42-42 43-43 45-44 46-1 47-1 48-45 50-46 50-47 50-48 50-49 51-50 52-51 53-52 54-53 55-54 56-55		
20:20	after the interview there was a violent confrontation by protesters with murray , vice president for communications bill burger , and stanger ( who was injured with a neck injury and concussion ) as they left the mccullough student center .	N/A	after the interview , college administrators claim there was a violent confrontation by protesters against murray , vice president for communications bill burger , and stanger ( who was injured with a neck injury and concussion ) as they left the mccullough student center .	N/A	1	1	0-0 1-1 2-2 3-7 4-8 5-9 6-10 7-11 8-12 9-13 10-14 11-15 12-16 13-17 14-18 15-19 16-20 17-21 18-22 19-23 20-24 21-25 22-26 23-27 24-28 25-29 26-30 27-31 28-32 29-33 30-34 31-35 32-36 33-37 34-38 35-39 36-40 37-41 38-42 39-43 40-44		
21:21	gracie was a successful comedienne , entertainer , entrepreneur and activist .	N/A	gracie was a successful comedian , entertainer , entrepreneur and activist .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11		
